date,sentiment_value,sentiment_class,trades,active_accounts,volume_usd,closed_pnl,fees,net_after_fees,realized_fills,win_rate,pnl_per_realized_fill,pnl_margin_bps
2024-04-13,72.0,Greed,89,2,486411.25000000006,6621.451755000001,118.99917599999993,6502.452579000001,61,1.0,108.54838942622952,136.12867208560658
2024-04-14,72.0,Greed,107,2,659162.1699999995,-36104.01251999999,213.47740399999995,-36317.48992399999,74,0.44594594594594594,-487.89206108108095,-547.7257974316096
2024-04-15,74.0,Greed,41,2,291111.19000000006,3774.08872,40.65060400000001,3733.4381160000003,35,1.0,107.83110628571428,129.64423387503584
2024-04-16,65.0,Greed,47,2,181907.17,2467.702221,18.457685,2449.244536,43,1.0,57.38842374418605,135.6572267602206
2024-04-17,67.0,Greed,14,1,97562.98999999999,2441.4683999999997,10.620963,2430.847437,13,1.0,187.8052615384615,250.24534405925854
2024-04-19,66.0,Greed,35,1,337257.91999999987,1946.4454620000001,118.04026,1828.4052020000001,27,1.0,72.09057266666667,57.71385478508558
2024-04-20,66.0,Greed,22,2,60733.23999999999,0.0,121.289047,-121.289047,0,,,0.0
2024-04-22,73.0,Greed,9,1,47993.61,0.0,16.797764,-16.797764,0,,,0.0
2024-04-23,71.0,Greed,66,2,233054.89999999997,1119.536196,71.308476,1048.22772,35,1.0,31.98674845714286,48.03744508268224
2024-04-24,72.0,Greed,20,1,141275.24000000002,279.18590699999993,49.44631599999999,229.73959099999993,7,0.8571428571428571,39.88370099999999,19.761842697984438
2024-04-25,72.0,Greed,74,2,120241.01000000001,0.0,160.15951199999998,-160.15951199999998,0,,,0.0
2024-04-26,70.0,Greed,3,1,4988.290000000001,0.0,1.745898,-1.745898,0,,,0.0
2024-04-27,67.0,Greed,27,1,154264.46999999997,4281.488139,53.99255,4227.495589,19,1.0,225.34148100000002,277.5420768631948
2024-04-28,65.0,Greed,58,2,43985.60000000001,0.0,15.394946000000004,-15.394946000000004,0,,,0.0
2024-04-29,67.0,Greed,45,2,108699.01000000002,526.933836,38.044630000000005,488.88920600000006,17,1.0,30.996108000000003,48.476415378576114
2024-04-30,67.0,Greed,24,1,125018.75000000001,0.0,43.75655,-43.75655,0,,,0.0
2024-05-01,54.0,Neutral,14,1,87025.45000000001,0.0,30.458908000000005,-30.458908000000005,0,,,0.0
2024-05-03,48.0,Neutral,36,3,282682.6500000001,5306.017045,98.91068099999998,5207.106363999999,19,0.8947368421052632,279.264055,187.70225356950624
2024-05-04,67.0,Greed,9,2,58998.75000000001,0.0,20.649558999999996,-20.649558999999996,0,,,0.0
2024-05-05,69.0,Greed,6,2,24068.350000000002,0.916,8.412778,-7.496777999999999,1,1.0,0.916,0.380582798571568
2024-05-06,71.0,Greed,9,1,206016.43,968.59038,72.105746,896.484634,4,1.0,242.147595,47.0152006808389
2024-05-07,68.0,Greed,18,3,108717.58,883.537693,38.03906100000001,845.4986319999999,9,1.0,98.17085477777778,81.26907285831784
2024-05-08,64.0,Greed,13,2,65973.57,1.56576,23.076825999999997,-21.511065999999996,2,0.5,0.78288,0.23733140407590494
2024-05-09,55.0,Greed,28,2,221966.12,1147.595856,77.68813200000001,1069.907724,11,1.0,104.32689599999999,51.701397312346586
2024-05-10,66.0,Greed,22,1,156882.00000000003,2101.7416949999997,54.90869,2046.8330049999997,6,1.0,350.29028249999993,133.96958828928743
2024-05-11,53.0,Neutral,9,1,63248.95,251.60474199999996,22.137125,229.46761699999996,9,1.0,27.95608244444444,39.78006623034849
2024-05-12,56.0,Greed,23,2,55179.560000000005,0.0,19.312828999999997,-19.312828999999997,0,,,0.0
2024-05-13,57.0,Greed,28,2,193118.90000000002,2136.8538590000003,67.59159899999999,2069.2622600000004,10,1.0,213.68538590000003,110.64964946465624
2024-05-14,66.0,Greed,23,1,145853.4,1150.5233050000002,51.048685,1099.4746200000002,4,1.0,287.63082625000004,78.88217244164348
2024-05-15,64.0,Greed,36,1,234922.56999999995,948.9705820000001,82.22288699999999,866.7476950000001,17,1.0,55.82179894117648,40.39503662845168
2024-05-16,70.0,Greed,27,2,162620.96,214.58980000000003,56.917320000000004,157.67248,5,1.0,42.91796000000001,13.195703678049867
2024-05-18,73.0,Greed,25,1,126303.14000000001,3522.394661,44.206092000000005,3478.188569,16,1.0,220.1496663125,278.8841719216165
2024-05-19,72.0,Greed,8,1,29998.090000000004,0.0,10.499327,-10.499327,0,,,0.0
2024-05-20,70.0,Greed,10,2,38124.75,-74.818442,13.343661999999998,-88.162104,3,0.0,-24.939480666666668,-19.624638063200415
2024-05-21,76.0,Extreme Greed,125,2,1100948.59,7289.3975720000035,385.33194399999996,6904.065628000004,25,0.56,291.5759028800001,66.21015402726482
2024-05-22,76.0,Extreme Greed,6,1,44995.29,0.0,15.748349000000001,-15.748349000000001,0,,,0.0
2024-05-23,76.0,Extreme Greed,325,3,401850.5999999999,413.3473290000001,113.43007900000003,299.9172500000001,156,0.9294871794871795,2.649662365384616,10.286094608294729
2024-05-24,74.0,Greed,2,1,50811.899999999994,821.949278,17.784165,804.165113,2,1.0,410.974639,161.76314564108017
