label,trades,volume_usd,closed_pnl,fees,net_after_fees,realized_fills,win_rate,pnl_per_realized_fill,pnl_margin_bps,direction,sentiment_class
Auto-Deleveraging | Greed,8,169507.75,57478.456026,0.0,57478.456026,8,1.0,7184.80700325,3390.9043112188087,Auto-Deleveraging,Greed
Open Long | Fear,17824,166006836.41999945,0.0,28261.84300399967,-28261.84300399967,0,,,0.0,Open Long,Fear
Open Long | Neutral,10222,48163197.559999876,0.0,10421.455317999902,-10421.455317999902,0,,,0.0,Open Long,Neutral
Open Long | Greed,8544,94153051.47000004,0.0,22331.598228000003,-22331.598228000003,0,,,0.0,Open Long,Greed
Open Long | Extreme Greed,6300,29386636.080000035,0.0,7443.2558089999675,-7443.2558089999675,0,,,0.0,Open Long,Extreme Greed
Open Short | Extreme Fear,3174,13932592.869999973,0.0,3036.3118399999985,-3036.3118399999985,0,,,0.0,Open Short,Extreme Fear
Open Short | Fear,10887,72335082.90999998,0.0,15713.299000999985,-15713.299000999985,0,,,0.0,Open Short,Fear
Open Short | Neutral,6353,26611622.5299999,0.0,6056.367372999977,-6056.367372999977,0,,,0.0,Open Short,Neutral
Open Short | Greed,11664,46918524.629999995,0.0,9904.084167999976,-9904.084167999976,0,,,0.0,Open Short,Greed
Open Short | Extreme Greed,7663,25687039.640000004,0.0,5257.882025000003,-5257.882025000003,0,,,0.0,Open Short,Extreme Greed
Sell | Extreme Fear,1042,1470417.8199999984,-140692.64280499992,353.9930180000007,-141046.63582299993,1037,0.4223722275795564,-135.67275101735768,-956.820849770442,Sell,Extreme Fear
Sell | Fear,3364,4536180.189999994,-10567.053934999989,1241.2911640000025,-11808.345098999991,3304,0.7669491525423728,-3.1982608762106506,-23.295048901044655,Sell,Fear
Sell | Neutral,2346,3817114.70999999,210007.44175500012,1077.117066,208930.32468900012,2298,0.7789382071366405,91.38705037206272,550.1732531244802,Sell,Neutral
Sell | Greed,5986,10153613.57999999,766340.3244869992,1739.4689000000017,764600.8555869992,5846,0.7904550119739994,131.0879788722202,754.7463949154936,Sell,Greed
Sell | Extreme Greed,7164,10131467.809999973,2081660.3461310137,1762.9151570000006,2079897.4309740136,7161,0.9247311827956989,290.69408548121964,2054.6483344460426,Sell,Extreme Greed
Settlement | Greed,1,782.83,-29.215368,0.0,-29.215368,1,0.0,-29.215368,-373.2019467828264,Settlement,Greed
Short > Long | Extreme Fear,6,391526.58,-11595.101642000001,44.608084,-11639.709726000001,6,0.8333333333333334,-1932.5169403333337,-296.1510720932408,Short > Long,Extreme Fear
Short > Long | Fear,18,280341.22000000003,20086.976814999998,59.894308,20027.082507,18,0.8888888888888888,1115.9431563888888,716.5188485303729,Short > Long,Fear
Short > Long | Neutral,12,114549.48999999999,-143.3411940000001,19.610659000000002,-162.95185300000009,12,0.8333333333333334,-11.945099500000007,-12.513472910267875,Short > Long,Neutral
Short > Long | Greed,23,296139.4399999999,2315.311459,31.760134,2283.551325,22,0.9545454545454546,105.24142995454545,78.18315111962124,Short > Long,Greed
Short > Long | Extreme Greed,11,33705.51,129.48361599999998,6.211893999999999,123.27172199999998,11,0.8181818181818182,11.771237818181817,38.41615688354811,Short > Long,Extreme Greed
Spot Dust Conversion | Extreme Fear,3,0.69,0.0,0.0,0.0,0,,,0.0,Spot Dust Conversion,Extreme Fear
Spot Dust Conversion | Fear,42,11.849999999999996,0.0,0.0,0.0,0,,,0.0,Spot Dust Conversion,Fear
Spot Dust Conversion | Neutral,10,4.309999999999999,0.0,0.0,0.0,0,,,0.0,Spot Dust Conversion,Neutral
Spot Dust Conversion | Greed,55,7.369999999999997,0.0,0.0,0.0,0,,,0.0,Spot Dust Conversion,Greed
Spot Dust Conversion | Extreme Greed,32,1.3100000000000003,0.0,0.0,0.0,0,,,0.0,Spot Dust Conversion,Extreme Greed
